Entry,Protein names,Gene names  (ordered locus ),Gene ontology (biological process)
P36002,Serine/threonine-protein kinase PTK1/STK1 (EC 2.7.11.1),YKL198C,intracellular signal transduction [GO:0035556]; polyamine transport [GO:0015846]; protein phosphorylation [GO:0006468]
Q07807,mRNA-binding protein PUF3 (Pumilio homology domain family member 3),YLL013C,"aerobic respiration [GO:0009060]; intracellular mRNA localization [GO:0008298]; mitochondrion localization [GO:0051646]; mitochondrion organization [GO:0007005]; nuclear-transcribed mRNA catabolic process [GO:0000956]; nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]; positive regulation of translation [GO:0045727]; regulation of ubiquinone biosynthetic process [GO:0010795]"
P40100,Protoporphyrin uptake protein 1,YER185W,heme transmembrane transport [GO:0035351]
P53633,Prenylated Rab acceptor 1,YNL044W,endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]
P10363,DNA primase small subunit (EC 2.7.7.-) (DNA polymerase alpha:primase complex p48 subunit) (DNA polymerase-primase complex p48 subunit) (Pol alpha-primase complex p48 subunit) (DNA primase 48 kDa subunit),YIR008C,"DNA replication [GO:0006260]; DNA replication, synthesis of RNA primer [GO:0006269]; DNA replication initiation [GO:0006270]; lagging strand elongation [GO:0006273]"
P49960,U4/U6 snRNA-associated-splicing factor PRP24 (U4/U6 snRNP protein),YMR268C,spliceosomal complex assembly [GO:0000245]; spliceosomal tri-snRNP complex assembly [GO:0000244]
P33203,Pre-mRNA-processing protein PRP40,YKL012W,"mRNA cis splicing, via spliceosome [GO:0045292]; mRNA splicing, via spliceosome [GO:0000398]"
P53131,Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43 (EC 3.6.4.13) (Helicase JA1),YGL120C,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000466]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; maturation of SSU-rRNA [GO:0030490]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; ribosomal large subunit biogenesis [GO:0042273]; rRNA processing [GO:0006364]; spliceosomal complex disassembly [GO:0000390]"
P20095,Pre-mRNA-splicing factor ATP-dependent RNA helicase-like protein PRP2 (EC 3.6.4.13) (Pre-mRNA-processing protein 2),YNR011C,generation of catalytic spliceosome for first transesterification step [GO:0000349]; snoRNA splicing [GO:0034247]
P19735,Pre-mRNA-splicing factor 6,YBR055C,"mRNA splicing, via spliceosome [GO:0000398]; spliceosomal tri-snRNP complex assembly [GO:0000244]"
P49704,Pre-mRNA-processing factor 31,YGR091W,"mRNA splicing, via spliceosome [GO:0000398]; spliceosomal snRNP assembly [GO:0000387]; spliceosomal tri-snRNP complex assembly [GO:0000244]"
P33411,Pre-mRNA-splicing factor 18,YGR006W,"generation of catalytic spliceosome for second transesterification step [GO:0000350]; mRNA splicing, via spliceosome [GO:0000398]; nuclear retention of unspliced pre-mRNA at the site of transcription [GO:0071048]"
P47116,Serine/threonine-protein kinase PTK2/STK2 (EC 2.7.11.1),YJR059W,cellular ion homeostasis [GO:0006873]; G1/S transition of mitotic cell cycle [GO:0000082]; intracellular signal transduction [GO:0035556]; polyamine transport [GO:0015846]; protein phosphorylation [GO:0006468]; regulation of cell size [GO:0008361]
P49723,Ribonucleoside-diphosphate reductase small chain 2 (EC 1.17.4.1) (Ribonucleotide reductase R2 subunit 2) (Ribonucleotide reductase small subunit 2),YGR180C,cofactor biosynthetic process [GO:0051188]; deoxyribonucleotide biosynthetic process [GO:0009263]; DNA replication [GO:0006260]
Q03776,U1 small nuclear ribonucleoprotein component PRP42 (U1 snRNP protein PRP42) (65 kDa snRNP protein) (Pre-mRNA-processing factor 42),YDR235W,"mRNA 5'-splice site recognition [GO:0000395]; mRNA splicing, via spliceosome [GO:0000398]"
P15938,Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16 (EC 3.6.4.13),YKR086W,"generation of catalytic spliceosome for second transesterification step [GO:0000350]; mRNA splicing, via spliceosome [GO:0000398]; RNA exon ligation [GO:0000378]"
Q08961,Ribosomal lysine N-methyltransferase 1 (EC 2.1.1.-),YPL208W,peptidyl-lysine dimethylation [GO:0018027]; peptidyl-lysine monomethylation [GO:0018026]; peptidyl-lysine trimethylation [GO:0018023]
Q03942,Ribosomal lysine N-methyltransferase 2 (EC 2.1.1.-),YDR198C,peptidyl-lysine monomethylation [GO:0018026]; peptidyl-lysine trimethylation [GO:0018023]
P38222,Ribosomal lysine N-methyltransferase 3 (EC 2.1.1.-),YBR030W,peptidyl-lysine monomethylation [GO:0018026]
Q12504,Ribosomal lysine N-methyltransferase 4 (EC 2.1.1.-) (SET domain-containing protein 7),YDR257C,peptidyl-lysine monomethylation [GO:0018026]
Q12367,Ribosomal lysine N-methyltransferase 5 (EC 2.1.1.-),YLR137W,protein methylation [GO:0006479]
P25043,Proteasome subunit beta type-2 (EC 3.4.25.1) (Macropain subunit PUP1) (Multicatalytic endopeptidase complex subunit PUP1) (Proteasome component PUP1) (Proteinase YSCE subunit PUP1),YOR157C,proteasomal protein catabolic process [GO:0010498]; proteasomal ubiquitin-independent protein catabolic process [GO:0010499]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]
P30657,Proteasome subunit beta type-7 (EC 3.4.25.1) (Macropain subunit PRE4) (Multicatalytic endopeptidase complex subunit PRE4) (Proteasome component PRE4) (Proteinase YSCE subunit PRE4),YFR050C,proteasomal protein catabolic process [GO:0010498]; proteasomal ubiquitin-independent protein catabolic process [GO:0010499]; proteasome assembly [GO:0043248]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]
Q03088,Styryl dye vacuolar localization protein 3,YPL032C,endocytosis [GO:0006897]
P38869,Protein SVP26 (Sed5 compartment vesicle protein of 26 kDa),YHR181W,endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; fungal-type cell wall organization [GO:0031505]; protein glycosylation [GO:0006486]; protein retention in Golgi apparatus [GO:0045053]; protein transport [GO:0015031]
Q12254,Protein SVS1,YPL163C,
Q06707,SWR1-complex protein 7,YLR385C,chromatin remodeling [GO:0006338]
P53277,Pre-mRNA-splicing factor SYF2 (PRP19 complex protein 31) (Synthetic lethal with CDC40 protein 2),YGR129W,"mRNA splicing, via spliceosome [GO:0000398]"
Q04767,Golgi apparatus membrane protein TVP18 (TLG2 compartment vesicle protein of 18 kDa),YMR071C,vesicle-mediated transport [GO:0016192]
P38319,Tyrosyl-DNA phosphodiesterase 1 (Tyr-DNA phosphodiesterase 1) (EC 3.1.4.-),YBR223C,DNA repair [GO:0006281]; double-strand break repair [GO:0006302]; single strand break repair [GO:0000012]
P15180,"Lysine--tRNA ligase, cytoplasmic (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)",YDR037W,lysyl-tRNA aminoacylation [GO:0006430]
P50104,Probable transcriptional regulatory protein STB4,YMR019W,"transcription, DNA-templated [GO:0006351]"
P39932,Sugar transporter STL1,YDR536W,glycerol transport [GO:0015793]; transmembrane transport [GO:0055085]
P38704,Transcription factor STP2,YHR006W,"positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription, DNA-templated [GO:0006355]"
P39007,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3 (Oligosaccharyl transferase subunit STT3) (EC 2.4.99.18) (Staurosporine and temperature sensitivity protein 3),YGL022W,post-translational protein modification [GO:0043687]; protein N-linked glycosylation [GO:0006487]; protein N-linked glycosylation via asparagine [GO:0018279]
P38326,SWR1-complex protein 5,YBR231C,chromatin remodeling [GO:0006338]; histone exchange [GO:0043486]
P36096,Transmembrane E3 ubiquitin-protein ligase 1 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TUL1),YKL034W,protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]; ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043162]
Q06412,Rho1 guanine nucleotide exchange factor TUS1 (TOR unique function suppressor protein 1),YLR425W,fungal-type cell wall organization [GO:0031505]; positive regulation of mitotic actomyosin contractile ring assembly [GO:1903501]; regulation of Rho protein signal transduction [GO:0035023]; signal transduction [GO:0007165]
Q04048,Pre-mRNA-splicing factor SYF1 (PRP19-associated complex protein 90) (Synthetic lethal with CDC40 protein 1),YDR416W,"generation of catalytic spliceosome for first transesterification step [GO:0000349]; mRNA splicing, via spliceosome [GO:0000398]"
P15625,Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS),YFL022C,phenylalanyl-tRNA aminoacylation [GO:0006432]
P08425,"Phenylalanine--tRNA ligase, mitochondrial (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase) (PheRS)",YPR047W,mitochondrial phenylalanyl-tRNA aminoacylation [GO:0070156]; phenylalanyl-tRNA aminoacylation [GO:0006432]
P40528,Protein SYG1,YIL047C,signal transduction [GO:0007165]
Q06817,Glycine--tRNA ligase 2 (EC 6.1.1.14) (Diadenosine tetraphosphate synthetase) (AP-4-A synthetase) (Glycyl-tRNA synthetase 2) (GlyRS 2) (GlyRS2),YPR081C,diadenosine tetraphosphate biosynthetic process [GO:0015966]; glycyl-tRNA aminoacylation [GO:0006426]; mitochondrial glycyl-tRNA aminoacylation [GO:0070150]
P40414,Tropomyosin-2,YIL138C,actin filament bundle assembly [GO:0051017]; actin filament organization [GO:0007015]; actin polymerization or depolymerization [GO:0008154]; budding cell apical bud growth [GO:0007118]; budding cell isotropic bud growth [GO:0007119]; establishment of cell polarity [GO:0030010]; exocytosis [GO:0006887]; intracellular mRNA localization [GO:0008298]; mitochondrion inheritance [GO:0000001]; mitotic actomyosin contractile ring assembly [GO:1903475]; mitotic cytokinesis [GO:0000281]; vacuole inheritance [GO:0000011]; vesicle-mediated transport [GO:0016192]
Q12256,Polyamine transporter 4,YOR273C,drug transmembrane transport [GO:0006855]; spermidine transport [GO:0015848]; spermine transport [GO:0000296]
Q03796,Polynucleotide 3'-phosphatase (EC 3.1.3.32) (2'(3')-polynucleotidase) (DNA 3'-phosphatase) (Three prime phosphatase),YMR156C,DNA 3' dephosphorylation involved in DNA repair [GO:0098504]; DNA repair [GO:0006281]; double-strand break repair [GO:0006302]; nucleotide phosphorylation [GO:0046939]
Q03954,DASH complex subunit SPC19 (19 kDa spindle pole component protein) (Outer kinetochore protein SPC19),YDR201W,attachment of spindle microtubules to kinetochore [GO:0008608]; cell division [GO:0051301]; positive regulation of attachment of spindle microtubules to kinetochore [GO:0051987]; positive regulation of microtubule polymerization [GO:0031116]
P25582,27S pre-rRNA (guanosine(2922)-2'-O)-methyltransferase (EC 2.1.1.167) (2'-O-ribose RNA methyltransferase SPB1) (AdoMet-dependent rRNA methyltransferase SPB1) (S-adenosyl-L-methionine-dependent methyltransferase) (Suppressor of PAB1 protein 1),YCL054W,"enzyme-directed rRNA 2'-O-methylation [GO:0000453]; maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000466]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; rRNA methylation [GO:0031167]"
Q12272,tRNA 2'-phosphotransferase (EC 2.7.1.160),YOL102C,"tRNA splicing, via endonucleolytic cleavage and ligation [GO:0006388]"
Q04673,General transcription and DNA repair factor IIH subunit SSL1 (TFIIH subunit SSL1) (RNA polymerase II transcription factor B subunit SSL1) (TFB subunit SSL1) (Suppressor of stem-loop protein 1),YLR005W,nucleotide-excision repair [GO:0006289]; phosphorylation of RNA polymerase II C-terminal domain [GO:0070816]; regulation of transcription by RNA polymerase II [GO:0006357]; transcription by RNA polymerase II [GO:0006366]
P38931,Mediator of RNA polymerase II transcription subunit 13 (Mediator complex subunit 13) (Protein SCA1) (Suppressor of RNA polymerase B SSN2),YDR443C,negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter by galactose [GO:0000435]; regulation of transcription by RNA polymerase II [GO:0006357]
P39926,Protein SSO2,YMR183C,ascospore-type prospore assembly [GO:0031321]; exocytosis [GO:0006887]; Golgi to plasma membrane transport [GO:0006893]; intracellular protein transport [GO:0006886]; vesicle docking [GO:0048278]; vesicle fusion [GO:0006906]
P39073,Meiotic mRNA stability protein kinase SSN3 (EC 2.7.11.22) (EC 2.7.11.23) (Cyclin-dependent kinase 8) (Suppressor of RNA polymerase B SRB10),YPL042C,"meiotic cell cycle [GO:0051321]; negative regulation of filamentous growth [GO:0060258]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nuclear-transcribed mRNA catabolic process, non-stop decay [GO:0070481]; phosphorylation of RNA polymerase II C-terminal domain [GO:0070816]; positive regulation of transcription from RNA polymerase II promoter by galactose [GO:0000435]; protein destabilization [GO:0031648]; protein phosphorylation [GO:0006468]"
P47821,RNA polymerase II holoenzyme cyclin-like subunit (Suppressor of RNA polymerase B 11),YNL025C,negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription by galactose [GO:0000411]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter involved in meiotic cell cycle [GO:0010673]; regulation of transcription by RNA polymerase II [GO:0006357]
P41930,Sulfite efflux pump SSU1 (Sulfite sensitivity protein SSU1),YPL092W,sulfite transport [GO:0000316]
Q06010,A-factor-processing enzyme (EC 3.4.24.-) (Insulin-degrading enzyme homolog),YLR389C,peptide mating pheromone maturation involved in positive regulation of conjugation with cellular fusion [GO:0071432]; proteolysis involved in cellular protein catabolic process [GO:0051603]; response to pheromone [GO:0019236]
D6VTK4,Pheromone alpha factor receptor,YFL026W,cell projection assembly [GO:0030031]; cytogamy [GO:0000755]; pheromone-dependent signal transduction involved in conjugation with cellular fusion [GO:0000750]; positive regulation of conjugation with cellular fusion [GO:0031139]; protein homooligomerization [GO:0051260]; receptor transactivation [GO:0035624]
P12866,Alpha-factor-transporting ATPase (EC 7.4.2.7) (Mating factor A secretion protein STE6) (Multiple drug resistance protein homolog) (P-glycoprotein),YKL209C,peptide pheromone export [GO:0000770]; response to pheromone [GO:0019236]; transmembrane transport [GO:0055085]
P25604,Suppressor protein STP22 of temperature-sensitive alpha-factor receptor and arginine permease (ESCRT-I complex subunit VPS23) (Vacuolar protein sorting-associated protein 23),YCL008C,ATP export [GO:1904669]; cellular protein modification process [GO:0006464]; late endosome to vacuole transport [GO:0045324]; negative regulation of protein polyubiquitination [GO:1902915]; protein targeting to membrane [GO:0006612]; protein targeting to vacuole [GO:0006623]; ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043162]
P32580,"ATP-dependent RNA helicase SUV3, mitochondrial (EC 3.6.4.13)",YPL029W,"Group I intron splicing [GO:0000372]; mitochondrial DNA replication [GO:0006264]; mitochondrial RNA 3'-end processing [GO:0000965]; mitochondrial RNA catabolic process [GO:0000957]; RNA catabolic process [GO:0006401]; RNA phosphodiester bond hydrolysis, exonucleolytic [GO:0090503]"
