Q9HSB4,3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1),VNG_0314G,"3,4-dihydroxybenzoate biosynthetic process [GO:0046279]; aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]"
Q9HS68,Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25),VNG_0382G,aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]; shikimate metabolic process [GO:0019632]
Q9HPU7,"Probable beta-carotene 15,15'-dioxygenase Brp (EC 1.13.11.63) (Bacteriorhodopsin-related protein)",VNG_1465G,carotene catabolic process [GO:0016121]; retinal metabolic process [GO:0042574]
Q9HPU6,Transcriptional regulator Brz (Bacteriorhodopsin-regulating zinc finger protein),VNG_1466H,
P13075,Flagellin A2,VNG_1009G,
P61116,Flagellin B1,VNG_0960G,
P00216,Ferredoxin,VNG_2293G,
P61118,Flagellin A1,VNG_1008G,
P13078,Flagellin B3,VNG_0962G,
Q9HPY4,Bifunctional protein FolD [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)],VNG_1416G,histidine biosynthetic process [GO:0000105]; methionine biosynthetic process [GO:0009086]; purine nucleotide biosynthetic process [GO:0006164]; tetrahydrofolate interconversion [GO:0035999]; tetrahydrofolate metabolic process [GO:0046653]
Q9HQG3,Fibrillarin-like rRNA/tRNA 2'-O-methyltransferase (EC 2.1.1.-),VNG_1176G,box C/D snoRNA 3'-end processing [GO:0000494]; histone glutamine methylation [GO:1990258]; rRNA methylation [GO:0031167]; tRNA processing [GO:0008033]
Q9HQ18,Cobalamin import ATP-binding protein BtuD (EC 7.6.2.8) (Vitamin B12-transporting ATPase),VNG_1371G,
Q9HQ19,Cobalamin import system permease protein BtuC,VNG_1370G,
Q9HQ20,Cobalamin-binding protein (Vitamin B12-binding protein),VNG_1369G,
Q9HP42,Carbamoyl-phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain),VNG_1815G,'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; arginine biosynthetic process [GO:0006526]; glutamine metabolic process [GO:0006541]; nitrogen compound metabolic process [GO:0006807]
Q9HQM3,Probable sirohydrochlorin cobaltochelatase (EC 4.99.1.3) (CbiXS),VNG_1093C,cobalamin biosynthetic process [GO:0009236]
Q9HPH5,Cobalt transport protein CbiN (Energy-coupling factor transporter probable substrate-capture protein CbiN) (ECF transporter S component CbiN),VNG_1634G,cobalamin biosynthetic process [GO:0009236]; cobalt ion transport [GO:0006824]
Q9HPL7,"Cobyrinate a,c-diamide synthase (EC 6.3.5.11) (Cobyrinic acid a,c-diamide synthetase)",VNG_1573G,cobalamin biosynthetic process [GO:0009236]; glutamine metabolic process [GO:0006541]
Q9HPK9,Adenosylcobinamide amidohydrolase (AdoCbi hydrolase) (EC 3.5.1.90),VNG_1583C,
Q9HPN4,Probable cobalt-precorrin-6B C(15)-methyltransferase (decarboxylating) (EC 2.1.1.196),VNG_1550G,cobalamin biosynthetic process [GO:0009236]; corrin biosynthetic process [GO:0046140]
Q9HHX2,ORC1-type DNA replication protein 3,VNG_6187G,DNA replication [GO:0006260]
Q9HN34,ORC1-type DNA replication protein 6,VNG_2271G,DNA replication [GO:0006260]; mitotic cell cycle [GO:0000278]; mitotic DNA replication checkpoint [GO:0033314]
Q9HQC7,ORC1-type DNA replication protein 8,VNG_1224G,DNA replication [GO:0006260]; mitotic cell cycle [GO:0000278]; mitotic DNA replication checkpoint [GO:0033314]
O51974,ORC1-type DNA replication protein 9,VNG_6091G,DNA replication [GO:0006260]; mitotic cell cycle [GO:0000278]; mitotic DNA replication checkpoint [GO:0033314]
Q9HSW6,ORC1-type DNA replication protein 10,VNG_0045C,DNA replication [GO:0006260]; mitotic cell cycle [GO:0000278]; mitotic DNA replication checkpoint [GO:0033314]
Q9HNG1,"CDP-archaeol synthase (EC 2.7.7.67) (CDP-2,3-bis-(O-geranylgeranyl)-sn-glycerol synthase)",VNG_2119C,glycerophospholipid biosynthetic process [GO:0046474]
Q9HS19,Uncharacterized DapA-like lyase VNG_0444G (EC 4.-.-.-),VNG_0444G,
Q9HRM7,NADP-specific glutamate dehydrogenase A1 (EC 1.4.1.4),VNG_0628G,cellular amino acid metabolic process [GO:0006520]
Q9HSG3,"dCTP deaminase, dUMP-forming (EC 3.5.4.30) (Bifunctional dCTP deaminase:dUTPase) (DCD-DUT)",VNG_0245G,dUMP biosynthetic process [GO:0006226]; dUTP biosynthetic process [GO:0006229]; nucleobase-containing small molecule interconversion [GO:0015949]
Q9HP08,Deoxyribose-phosphate aldolase (DERA) (EC 4.1.2.4) (2-deoxy-D-ribose 5-phosphate aldolase) (Phosphodeoxyriboaldolase) (Deoxyriboaldolase),VNG_1859G,carbohydrate catabolic process [GO:0016052]; deoxyribonucleotide catabolic process [GO:0009264]; deoxyribose phosphate catabolic process [GO:0046386]
Q9HR43,Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7),VNG_0872G,translation [GO:0006412]
Q9HPJ9,Probable glycine dehydrogenase (decarboxylating) subunit 1 (EC 1.4.4.2) (Glycine cleavage system P-protein subunit 1) (Glycine decarboxylase subunit 1) (Glycine dehydrogenase (aminomethyl-transferring) subunit 1),VNG_1603G,glycine decarboxylation via glycine cleavage system [GO:0019464]; nucleoside metabolic process [GO:0009116]
Q9HPJ7,Probable aminomethyltransferase (EC 2.1.2.10) (Glycine cleavage system T protein),VNG_1606G,glycine decarboxylation via glycine cleavage system [GO:0019464]
Q9HNY7,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (iPGM) (EC 5.4.2.12)",VNG_1887G,cellular carbohydrate metabolic process [GO:0044262]; glucose catabolic process [GO:0006007]; glycolytic process [GO:0006096]
O54608,Putative sulfur carrier protein VNG_5061C/VNG_5236C/VNG_6059C/VNG_6467C,VNG_5061C; VNG_5236C; VNG_6059C; VNG_6467C,
P04137,Uncharacterized protein in transposable element ISH50,VNG_0918H; VNG_5149H,
Q9HQR5,UPF0173 metal-dependent hydrolase VNG_1038C,VNG_1038C,
P20378,Putative esterase VNG_1336C (EC 3.1.2.-),VNG_1336C,
Q9HNG7,Putative HTH-type transcriptional regulatory protein VNG_2112C,VNG_2112C,
Q9HR37,UPF0212 protein VNG_0879C,VNG_0879C,
Q9HRD6,UPF0229 protein VNG_0746C,VNG_0746C,
Q9HNE3,V-type ATP synthase alpha chain (EC 7.1.2.2) (V-ATPase subunit A),VNG_2139G,plasma membrane ATP synthesis coupled proton transport [GO:0042777]
Q9HNE7,V-type ATP synthase subunit D (V-ATPase subunit D),VNG_2135G,plasma membrane ATP synthesis coupled proton transport [GO:0042777]
Q9HQC9,Uridine kinase (EC 2.7.1.48) (Cytidine monophosphokinase) (Uridine monophosphokinase),VNG_1219G,CTP salvage [GO:0044211]; UMP salvage [GO:0044206]
Q9HNE4,V-type ATP synthase beta chain (V-ATPase subunit B),VNG_2138G,plasma membrane ATP synthesis coupled proton transport [GO:0042777]
Q9HNE1,V-type ATP synthase subunit C (V-ATPase subunit C),VNG_2141G,plasma membrane ATP synthesis coupled proton transport [GO:0042777]
Q9HMU5,UvrABC system protein C (Protein UvrC) (Excinuclease ABC subunit C),VNG_2381G,cellular response to DNA damage stimulus [GO:0006974]; nucleotide-excision repair [GO:0006289]; SOS response [GO:0009432]
Q9HMT9,UvrABC system protein B (Protein UvrB) (Excinuclease ABC subunit B),VNG_2390G,nucleotide-excision repair [GO:0006289]; SOS response [GO:0009432]
Q9HP68,"Tritrans,polycis-undecaprenyl-diphosphate synthase (geranylgeranyl-diphosphate specific) (EC 2.5.1.89) (Undecaprenyl diphosphate synthase) (UDS) (Undecaprenyl pyrophosphate synthase) (UPP synthase)",VNG_1779C,polyprenol biosynthetic process [GO:0016094]
Q9HSC1,Indole-3-glycerol phosphate synthase (IGPS) (EC 4.1.1.48),VNG_0305G,tryptophan biosynthetic process [GO:0000162]
Q9HN31,UPF0213 protein VNG_2274C,VNG_2274C,
Q9HN05,Uracil phosphoribosyltransferase (EC 2.4.2.9) (UMP pyrophosphorylase) (UPRTase),VNG_2305C,nucleoside metabolic process [GO:0009116]; UMP salvage [GO:0044206]; uracil salvage [GO:0006223]
Q9HNE0,V-type ATP synthase subunit E (V-ATPase subunit E),VNG_2142G,ATP hydrolysis coupled proton transport [GO:0015991]; plasma membrane ATP synthesis coupled proton transport [GO:0042777]
Q9HND8,V-type ATP synthase subunit I (V-ATPase subunit I),VNG_2144G,ATP hydrolysis coupled proton transport [GO:0015991]; vacuolar acidification [GO:0007035]
Q9HNE2,V-type ATP synthase subunit F (V-ATPase subunit F),VNG_2140G,plasma membrane ATP synthesis coupled proton transport [GO:0042777]
Q9HRG2,Phosphomethylpyrimidine synthase (EC 4.1.99.17) (Hydroxymethylpyrimidine phosphate synthase) (HMP-P synthase) (HMP-phosphate synthase) (HMPP synthase) (Thiamine biosynthesis protein ThiC),VNG_0715G,thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]
Q9HSB9,Tryptophan synthase alpha chain (EC 4.2.1.20),VNG_0308G,tryptophan biosynthetic process [GO:0000162]
P0CX05,Probable transposase for insertion sequence element ISH11,VNG_0213H; VNG_5045H; VNG_5252H; VNG_6043H; VNG_6421H; VNG_6483H,"transposition, DNA-mediated [GO:0006313]"
Q9HPG5,Anthranilate synthase component 1 1 (EC 4.1.3.27) (Anthranilate synthase component I 1),VNG_1647G,tryptophan biosynthetic process [GO:0000162]
Q9HN62,Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS),VNG_2237G,tyrosyl-tRNA aminoacylation [GO:0006437]
Q48325,TATA-box-binding protein B (Box A-binding protein B) (BAP B) (TATA sequence-binding protein B) (TBP B) (TATA-box factor B),VNG_5052G; VNG_5245G; VNG_6050G; VNG_6476G,"DNA-templated transcription, initiation [GO:0006352]; transcription by RNA polymerase II [GO:0006366]"
O52004,TATA-box-binding protein C (Box A-binding protein C) (BAP C) (TATA sequence-binding protein C) (TBP C) (TATA-box factor C),VNG_5142G; VNG_6140G,"DNA-templated transcription, initiation [GO:0006352]; transcription by RNA polymerase II [GO:0006366]"
Q9HN56,TATA-box-binding protein E (Box A-binding protein E) (BAP E) (TATA sequence-binding protein E) (TBP E) (TATA-box factor E),VNG_2243G,"DNA-templated transcription, initiation [GO:0006352]; transcription by RNA polymerase II [GO:0006366]"
Q9HMC7,Thiamine thiazole synthase (EC 4.-.-.-),VNG_2604G,thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]; thiazole biosynthetic process [GO:0052837]
Q9HQ52,Flavin-dependent thymidylate synthase (FDTS) (EC 2.1.1.148) (FAD-dependent thymidylate synthase) (Thymidylate synthase ThyX) (TS) (TSase),VNG_1325C,dTMP biosynthetic process [GO:0006231]; dTTP biosynthetic process [GO:0006235]
Q9HHN2,Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS),VNG_6312G,arginyl-tRNA aminoacylation [GO:0006420]
Q9HMG9,Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS),VNG_2547G,valyl-tRNA aminoacylation [GO:0006438]
Q9HN70,Thermosome subunit alpha (Chaperonin subunit alpha) (Thermosome subunit 1),VNG_2226G,protein folding [GO:0006457]
Q9HNI0,Thermosome subunit beta (Chaperonin subunit beta) (Thermosome subunit 2),VNG_2096G,protein folding [GO:0006457]
Q9HNP1,Thiamine-monophosphate kinase (TMP kinase) (Thiamine-phosphate kinase) (EC 2.7.4.16),VNG_2011G,thiamine biosynthetic process [GO:0009228]; thiamine diphosphate biosynthetic process [GO:0009229]
O52018,TATA-box-binding protein D (Box A-binding protein D) (BAP D) (TATA sequence-binding protein D) (TBP D) (TATA-box factor D),VNG_5163G,"DNA-templated transcription, initiation [GO:0006352]; transcription by RNA polymerase II [GO:0006366]"
Q9HN83,Tryptophan--tRNA ligase 1 (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase 1) (TrpRS 1),VNG_2208G,tryptophanyl-tRNA aminoacylation [GO:0006436]
Q9HN66,Tryptophan--tRNA ligase 2 (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase 2) (TrpRS 2),VNG_2232G,tryptophanyl-tRNA aminoacylation [GO:0006436]
Q9HRC7,Transcription factor E (TFE) (TFIIE subunit alpha homolog) (Transcription initiation factor TFIIE),VNG_0757G,"regulation of transcription, DNA-templated [GO:0006355]; transcriptional open complex formation at RNA polymerase II promoter [GO:0001113]"
Q9HHE9,TATA-box-binding protein F (Box A-binding protein F) (BAP F) (TATA sequence-binding protein F) (TBP F) (TATA-box factor F),VNG_6438G,"DNA-templated transcription, initiation [GO:0006352]; transcription by RNA polymerase II [GO:0006366]"
Q9HNJ5,50S ribosomal protein L40e,VNG_2076G,translation [GO:0006412]
P05971,50S ribosomal protein L15 (HL16),VNG_1718G,translation [GO:0006412]
P50558,50S ribosomal protein L5 (HCul5) (HHal5) (HL19) (HSal5),VNG_1705G,ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]
Q9HQ95,UPF0212 protein VNG_1264C,VNG_1264C,
Q9HSU8,UPF0175 protein VNG_0066H,VNG_0066H,
Q9HQK7,Probable S-adenosyl-L-methionine-binding protein VNG_1115H,VNG_1115H,
Q9HSJ8,Double zinc ribbon protein VNG_0195H,VNG_0195H,
P17104,Uncharacterized protein VNG_1110C (Protein NAB),VNG_1110C,
P17103,Uncharacterized GTP-binding protein VNG_1111G,VNG_1111G,cytoplasmic translation [GO:0002181]
Q9HN72,Leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS),VNG_2223G,leucyl-tRNA aminoacylation [GO:0006429]
Q9HSA4,Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS),VNG_0326G,methionyl-tRNA aminoacylation [GO:0006431]
Q9HSC0,Tryptophan synthase beta chain (EC 4.2.1.20),VNG_0307G,tryptophan biosynthetic process [GO:0000162]
Q9HMV9,UPF0148 protein VNG_2366C,VNG_2366C,
Q9HMK3,Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS),VNG_2505G,phenylalanyl-tRNA aminoacylation [GO:0006432]
Q9HMQ3,Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase),VNG_2436G,arginine biosynthetic process via ornithine [GO:0042450]
P0DMI2,Protein-glutamate methylesterase/protein-glutamine glutaminase (EC 3.1.1.61) (EC 3.5.1.44),VNG_0973G,chemotaxis [GO:0006935]; protein deamination [GO:0018277]; protein demethylation [GO:0006482]
Q9HQC1,3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS),VNG_1232G,aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]
Q9HNV0,2-phospho-L-lactate guanylyltransferase (LP guanylyltransferase) (EC 2.7.7.68),VNG_1935C,coenzyme biosynthetic process [GO:0009108]
Q9HNU8,5-amino-6-(D-ribitylamino)uracil--L-tyrosine 4-hydroxyphenyl transferase (EC 2.5.1.147) (FO synthase subunit 2),VNG_1938C,
Q9HPL2,Adenosylcobinamide-GDP ribazoletransferase (EC 2.7.8.26) (Cobalamin synthase) (Cobalamin-5'-phosphate synthase),VNG_1580H,cobalamin biosynthetic process [GO:0009236]
P71411,Sensory rhodopsin-2 (Sensory rhodopsin II) (SR-II),VNG_1764G,phototransduction [GO:0007602]; protein-chromophore linkage [GO:0018298]
P0DMH7,Halorhodopsin (HR),VNG_0180G,phototransduction [GO:0007602]; protein-chromophore linkage [GO:0018298]
Q9HPU8,Bacterioopsin transcriptional activator,VNG_1464G,phosphorelay signal transduction system [GO:0000160]
Q9HPL5,Probable cobyric acid synthase,VNG_1576G,cobalamin biosynthetic process [GO:0009236]; glutamine metabolic process [GO:0006541]
Q9HPX4,2-phospho-L-lactate transferase (EC 2.7.8.28) (LPPG:FO 2-phospho-L-lactate transferase),VNG_1429C,coenzyme biosynthetic process [GO:0009108]
Q9HNU9,"7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase (EC 4.3.1.32) (FO synthase subunit 1)",VNG_1937C,coenzyme biosynthetic process [GO:0009108]
P0DMH8,Sensory rhodopsin-1 (Sensory rhodopsin I) (SR-I),VNG_1660G,phototransduction [GO:0007602]; protein-chromophore linkage [GO:0018298]
Q9HP84,Transducer protein CosT (Compatible solute transducer protein) (HTP IV),VNG_1760G,chemotaxis [GO:0006935]; signal transduction [GO:0007165]
Q9HHN1,Arginine/ornithine antiporter ArcD,VNG_6313G,amino acid transport [GO:0006865]
Q9HQB0,Shikimate kinase (SK) (EC 2.7.1.71),VNG_1245C,aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]
Q9HMQ2,Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase),VNG_2437G,arginine biosynthetic process [GO:0006526]; argininosuccinate metabolic process [GO:0000053]; urea cycle [GO:0000050]
Q9HNT1,tRNA-guanine(15) transglycosylase (EC 2.4.2.48) (7-cyano-7-deazaguanine tRNA-ribosyltransferase) (Archaeal tRNA-guanine transglycosylase),VNG_1959G,tRNA modification [GO:0006400]
Q9HMC3,Archaemetzincin (EC 3.4.-.-),VNG_2610C,
Q9HSB8,"2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase (ADH synthase) (ADHS) (ADTH synthase) (EC 2.2.1.10)",VNG_0309C,aromatic amino acid family biosynthetic process [GO:0009073]
Q9HRI2,Fructose-bisphosphate aldolase class 1 (EC 4.1.2.13) (Fructose-bisphosphate aldolase class I) (FBP aldolase),VNG_0683C,aromatic amino acid family biosynthetic process [GO:0009073]; glycolytic process [GO:0006096]
O52027,Putative arsenical pump-driving ATPase (EC 3.6.3.16) (Arsenical resistance ATPase) (Arsenite-translocating ATPase) (Arsenite-transporting ATPase),VNG_5180G,detoxification of arsenic-containing substance [GO:0071722]
O52028,Putative arsenical resistance operon repressor ArsD,VNG_5181G,"negative regulation of transcription, DNA-templated [GO:0045892]; response to arsenic-containing substance [GO:0046685]"
O52030,Putative arsenate reductase (EC 1.20.4.-),VNG_5183G,response to arsenic-containing substance [GO:0046685]
O52025,Arsenite methyltransferase (EC 2.1.1.137),VNG_5177C,response to arsenic-containing substance [GO:0046685]
O52029,Putative arsenical resistance operon repressor ArsR,VNG_5182G,response to arsenic-containing substance [GO:0046685]
Q48295,Carbamate kinase (CK) (EC 2.7.2.2),VNG_6316G,arginine deiminase pathway [GO:0019546]; carbamoyl phosphate catabolic process [GO:0035975]
Q9HQC2,Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase),VNG_1230G,aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]
O52026,Putative arsenical resistance operon repressor ArsR2,VNG_5176C,response to arsenic-containing substance [GO:0046685]
Q9HN46,Putative archaetidylserine decarboxylase proenzyme (EC 4.1.1.-) [Cleaved into: Archaetidylserine decarboxylase alpha chain; Archaetidylserine decarboxylase beta chain],VNG_2255C,phospholipid biosynthetic process [GO:0008654]
Q9HQM6,Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase),VNG_1089G,'de novo' AMP biosynthetic process [GO:0044208]; IMP metabolic process [GO:0046040]
Q9HMV4,IMP cyclohydrolase (EC 3.5.4.10) (IMP synthase) (Inosinicase),VNG_2371C,'de novo' IMP biosynthetic process [GO:0006189]
Q9HPC0,30S ribosomal protein S14 type Z,VNG_1706G,translation [GO:0006412]
Q9HRA2,30S ribosomal protein S15,VNG_0790G,translation [GO:0006412]
Q9HPX1,30S ribosomal protein S17e,VNG_1433G,translation [GO:0006412]
Q9HNU7,Putative phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase),VNG_1939G,'de novo' IMP biosynthetic process [GO:0006189]
Q9HPC3,50S ribosomal protein L24,VNG_1702G,cytoplasmic translation [GO:0002181]; ribosomal large subunit biogenesis [GO:0042273]
Q9HR49,Phosphoribosylformylglycinamidine synthase subunit PurL (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit II) (FGAR amidotransferase II) (FGAR-AT II) (Glutamine amidotransferase PurL) (Phosphoribosylformylglycinamidine synthase subunit II),VNG_0864G,'de novo' IMP biosynthetic process [GO:0006189]
Q9HHN4,Aspartate carbamoyltransferase (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase),VNG_6309G,'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; cellular amino acid metabolic process [GO:0006520]; nitrogen compound metabolic process [GO:0006807]
Q9HNU2,Phosphoribosylformylglycinamidine synthase subunit PurQ (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit I) (FGAR amidotransferase I) (FGAR-AT I) (Glutaminase PurQ) (EC 3.5.1.2) (Phosphoribosylformylglycinamidine synthase subunit I),VNG_1945G,'de novo' IMP biosynthetic process [GO:0006189]; glutamine metabolic process [GO:0006541]
